term	genes	type	name	parents
R-HSA-112315	Q9UIU0;Q08289;Q9UBN1;O00555;Q8IZS8;Q00975;Q02641;Q9Y698;P54284;Q15878;Q9NY47;O00305;Q9H2H9;P43003;P43004;P15104;Q02083;Q86UR5;Q16623;P60880;O14795;P63027;O75145;Q92777;P17600;P20336;O14994;O95153;O14810;O75334;Q13136;O75335;P21579;Q05940;O15245;O15244;P21397;O75915;Q96QD8;O94925;P43005;P48664;O00341;Q9UI32;Q9P2U7;O14910;Q9NUP9;O14936;Q02410;Q9HAP6;Q9GZV3;P28329;Q16572;Q9H598;Q05329;Q99259;Q9H3Z4;P11142;Q9NSD5;P48066;P30531;P48065;P51649;P80404;P06276;P22303;Q01959;Q8WZ04;P21964;P31645;P05091;Q8WXA8;O95264;P46098;Q70Z44;P23416;P23415;P48167;A5X5Y0;Q8NFP9;O75311;P17787;P43681;Q04844;P30926;P32297;P07510;Q07001;P02708;Q15822;Q15825;Q05901;P30532;Q9UGM1;P36544;P42263;P42261;P48058;P42262;Q13557;O60359;Q8WXS5;P24588;Q12959;Q13555;Q9H4G0;P78352;Q9UQM7;Q00987;Q13554;Q9UM54;P05771;P41732;P46459;Q9NRD5;O95782;Q9Y3R0;P17252;Q9C0E4;P05129;Q00722;Q9NQ66;Q01970;P62879;P50150;P61952;O14775;P63215;Q9HAV0;P63211;P62873;O60262;P59768;P16520;P63218;Q9UBI6;Q9P2W3;P50151;O14610;Q13003;Q9UK08;P39086;Q13002;P61601;Q92796;Q16099;P0DP23;Q16478;Q13224;Q05586;Q12879;P35609;Q15700;Q96NW7;P07196;O15399;Q14957;P0DPH7;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q13885;P0DPH8;A6NNZ2;P04350;Q8TCU5;Q9P2E2;Q9H853;Q6PEY2;Q9NY65;Q9BVA1;Q9BUF5;O60391;Q13509;P68363;Q3ZCM7;P68371;Q8WY54;Q14012;P49593;Q16566;P51817;P22612;P31321;P17612;P16220;P40145;Q08828;P10644;P13861;P31323;P22694;Q96RR4;Q8N5S9;P52292;P63000;Q9Y2X7;O43741;Q13131;Q9UGJ0;Q9Y478;Q9UGI9;P54619;P54646;P12931;Q15303;Q02297;Q92686;Q9UK32;Q15418;P51812;Q15349;P01111;P01116;P01112;O14827;Q13972;O15530;P27361;P28482;Q16445;P47869;P48169;P18505;P47870;P24046;P31644;O43307;P28476;P28472;P18507;Q99928;P14867;Q9Y639;P34903;A8MPY1;Q9UN88;O75899;Q9UBS5;O43306;P08754;O60266;O60503;Q8NFM4;O95622;P51828;Q08462;P04899;A8MTJ3;P63096;P38405;Q9NPI9;P48051;P63252;Q99712;P78508;Q92806;P48549;P48050;Q14500;P48544	Neuronal System	Transmission across Chemical Synapses	R-HSA-112316
R-HSA-112316	Q96RD7;Q969M2;P36383;Q9UKL4;Q96RD6;O94991;Q9H156;Q8IW52;P23468;Q96PX8;O75145;P10586;Q13332;Q9H5Y7;O94933;Q9NP60;Q9NT99;Q8ND30;O75334;Q86W92;Q13136;Q9NZN1;O75335;Q16288;O43300;O43166;Q9H0F6;Q6XYQ8;Q8IV01;Q16623;Q13224;P61764;Q9BYB0;Q9UPX8;Q9Y566;O14910;Q05586;Q9NSB8;Q9ULB1;Q9NZ94;Q12879;P58400;O43581;Q9NUP9;Q13255;O14936;O43491;O96018;Q9P1A6;Q9BUH8;Q15700;P11171;Q9Y2H0;Q92796;Q9HCM4;Q02410;Q99767;O14490;Q9UJU6;P41594;Q9HAP6;Q9Y2J2;Q9H4G0;P78352;Q86VH5;O95886;Q9NSC5;Q86YM7;Q86VH4;Q8NFZ4;Q96HC4;P58401;Q8N0W4;Q9P2S2;Q9Y4C0;Q8N2Q7;O15399;Q86UE6;Q8N9I0;P21579;Q86SS6;Q9HDB5;Q14957;Q8NFZ3;O95197;P42263;Q9BTN0;P42261;Q6PJG9;Q12959;O75955;Q14254;P48058;Q9ULH4;Q9P244;O15554;Q86W47;Q9UGI6;Q9NPA1;Q16558;Q92952;Q12791;Q9H2S1;Q9Y691;Q9Y3Q4;O60741;Q9UL51;Q9P1Z3;O95259;Q9BQ31;Q8NCM2;Q13303;P17658;Q14722;O43526;Q9NS40;Q9H3M0;P22001;Q96L42;Q9UIX4;Q96PR1;Q03721;Q9NZV8;Q14721;P22459;Q9UJ96;Q6PIU1;Q96KK3;Q9UK17;Q9ULD8;Q9NSA2;Q8TAE7;Q96RP8;Q9H252;Q8TDN2;Q9ULS6;Q9NR82;Q12809;Q8TDN1;P56696;Q92953;Q14003;O43525;P51787;Q9UQ05;O43448;P48547;Q09470;P16389;P22460;Q16322;Q9HB14;O00180;Q9Y2U2;Q9Y257;O14649;Q9NPC2;Q7Z418;Q96T55;Q96T54;P57789;Q9NYG8;O95069;Q15842;Q09428;O60706;Q14654;P63252;Q9UNX9;P48050;Q14500;Q9NPI9;P48048;P78508;P48051;Q99712;P62879;P50150;P61952;O14775;P63215;Q9HAV0;P63211;P62873;O60262;P59768;P16520;P63218;O75899;Q9UBI6;Q9P2W3;P50151;Q92806;P48549;O14610;Q9UBS5;P48544;Q9UK08;Q9UIU0;Q08289;Q9UBN1;O00555;Q8IZS8;Q00975;Q02641;Q9Y698;P54284;Q15878;Q9NY47;O00305;Q9H2H9;P43003;P43004;P15104;Q02083;Q86UR5;P60880;O14795;P63027;Q92777;P17600;P20336;O14994;O95153;O14810;Q05940;O15245;O15244;P21397;O75915;Q96QD8;O94925;P43005;P48664;O00341;Q9UI32;Q9P2U7;Q9GZV3;P28329;Q16572;Q9H598;Q05329;Q99259;Q9H3Z4;P11142;Q9NSD5;P48066;P30531;P48065;P51649;P80404;P06276;P22303;Q01959;Q8WZ04;P21964;P31645;P05091;Q8WXA8;O95264;P46098;Q70Z44;P23416;P23415;P48167;A5X5Y0;Q8NFP9;O75311;P17787;P43681;Q04844;P30926;P32297;P07510;Q07001;P02708;Q15822;Q15825;Q05901;P30532;Q9UGM1;P36544;P42262;Q13557;O60359;Q8WXS5;P24588;Q13555;Q9UQM7;Q00987;Q13554;Q9UM54;P05771;P41732;P46459;Q9NRD5;O95782;Q9Y3R0;P17252;Q9C0E4;P05129;Q00722;Q9NQ66;Q01970;Q13003;P39086;Q13002;P61601;Q16099;P0DP23;Q16478;P35609;Q96NW7;P07196;P0DPH7;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q13885;P0DPH8;A6NNZ2;P04350;Q8TCU5;Q9P2E2;Q9H853;Q6PEY2;Q9NY65;Q9BVA1;Q9BUF5;O60391;Q13509;P68363;Q3ZCM7;P68371;Q8WY54;Q14012;P49593;Q16566;P51817;P22612;P31321;P17612;P16220;P40145;Q08828;P10644;P13861;P31323;P22694;Q96RR4;Q8N5S9;P52292;P63000;Q9Y2X7;O43741;Q13131;Q9UGJ0;Q9Y478;Q9UGI9;P54619;P54646;P12931;Q15303;Q02297;Q92686;Q9UK32;Q15418;P51812;Q15349;P01111;P01116;P01112;O14827;Q13972;O15530;P27361;P28482;Q16445;P47869;P48169;P18505;P47870;P24046;P31644;O43307;P28476;P28472;P18507;Q99928;P14867;Q9Y639;P34903;A8MPY1;Q9UN88;O43306;P08754;O60266;O60503;Q8NFM4;O95622;P51828;Q08462;P04899;A8MTJ3;P63096;P38405	Neuronal System	Neuronal System	
R-HSA-112382	P63272;P23193;P52434;P19388;Q9Y5B9;P19447;P24928;P35269;P61218;P52435;P30876;Q7KZ85;O15514;P18615;P62487;P62875;P36954;Q8WVC0;Q8WX92;P53803;P52298;Q9H3P2;P19387;Q8IXH7;Q08945;O00267;Q9GZS3;Q92541;P51948;Q9Y5B0;O60583;Q6P1J9;Q14241;P50613;Q03111;P50750;P42568;Q96CJ1;O60563;Q6PD62;P51946;Q8IYF1;Q9UHB7;O75909;Q96ST2;P18074;Q15369;Q15370;Q8NG57;P55199;A6NLF2;Q3SY89;Q8N7H5;Q92759;P13984;Q6ZYL4;Q96JC9;Q13888;Q13889;Q09161;P32780	Gene expression (Transcription)	Formation of RNA Pol II elongation complex 	R-HSA-75955
R-HSA-112399	P35568;P42338;P27986;Q9Y4H2;O00459;P42336;P01111;P01116;P01112;Q07889;Q06124;P08620;P10767;Q9HCT0;O43320;Q9UEF7;O76093;P49771;Q13480;Q8WU20;P36888;Q9UQC2;O15520;P11487;P09038;P21802;O95750;P05230;Q9GZV9;P31371;P11362;Q9NP95;P22455;P22607;Q86Z14;P21781;Q9NR96;Q8NEB9;Q99570;O15530;P31751;Q96RU7;Q5T1C6;Q13370	Signal Transduction	IRS-mediated signalling	R-HSA-2428928;R-HSA-74751
R-HSA-112409	Q15121;P28562;Q05923;Q13115;Q99956;Q16829;Q13202;Q16828;Q16690;Q9BY84;P27361;P28482;Q9Y6W6;Q06124;P23458;P06493;O60674;P05231;Q02750;P29597;P36507	Signal Transduction	RAF-independent MAPK1/3 activation	R-HSA-5684996
R-HSA-112411	Q06124;P36507;P23458;O60674;P05231;P28482;P29597	Signal Transduction	MAPK1 (ERK2) activation	R-HSA-112409
R-HSA-112412	P01111;P01116;P35568;P01112;Q07889;Q9Y4H2	Signal Transduction	SOS-mediated signalling	R-HSA-112399
R-HSA-113418	P63272;P52434;P19388;P19447;P24928;P35269;P61218;P52435;P30876;O15514;P18615;P62487;P62875;P36954;Q8WX92;P53803;P52298;Q9H3P2;P19387;Q8IXH7;O00267;P51948;Q9Y5B0;P50613;P51946;P18074;Q92759;P13984;Q6ZYL4;Q13888;Q13889;Q09161;P32780	Gene expression (Transcription)	Formation of the Early Elongation Complex	R-HSA-75955
R-HSA-113501	P62714;Q14188;P49643;P67775;P06400;Q9Y5P8;Q14186;P30153;P30154;Q01094;Q14181;P09884;P49642	Cell Cycle	Inhibition of replication initiation of damaged DNA by RB1/E2F1	R-HSA-113510
R-HSA-113507	Q13416;Q9UJA3;O43913;Q13415;O43929;P14635;P06493;Q9UBD5;Q9Y5N6	Cell Cycle	E2F-enabled inhibition of pre-replication complex formation	R-HSA-113510
R-HSA-113510	P62714;Q14188;P49643;P67775;P06400;Q9Y5P8;Q14186;P30153;P30154;Q01094;Q14181;P09884;P49642;Q13416;Q9UJA3;O43913;Q13415;O43929;P14635;P06493;Q9UBD5;Q9Y5N6	Cell Cycle	E2F mediated regulation of DNA replication	R-HSA-69206
R-HSA-114294	P55957;Q07812	Programmed Cell Death	Activation, translocation and oligomerization of BAX	R-HSA-109606
R-HSA-114452	P45983;O43521;P63167;P31947;P63098;P31946;P10415;P55957;Q9Y243;P31751;P63104;P31749;Q92934;P62258;Q04917;P61981;P27348;P48454;Q14188;P04637;Q14186;Q01094;Q13794;Q96FJ2;Q96LC9;O15350;Q9BXH1;Q13625;Q96KQ4;Q9H3D4	Programmed Cell Death	Activation of BH3-only proteins	R-HSA-109606
R-HSA-114508	Q9Y210;Q9HCX4;Q05655;Q04759;Q16760;Q13574;Q86XP1;P23743;O75912;Q5KSL6;P52824;P49619;P24723;O95267;P52429;Q14573;Q9Y6T7;Q14571;Q02156;Q7LDG7;Q14643;Q13507;Q99685;Q9Y4D2;Q8N2K0;Q8NCG7;Q9BV23	Hemostasis;Signal Transduction	Effects of PIP2 hydrolysis	R-HSA-416476;R-HSA-76002
R-HSA-114516	P05771;O00186;Q12846;P17252;P05129	Hemostasis	Disinhibition of SNARE formation	R-HSA-76005
R-HSA-114604	P61586;Q86YL7;Q06124;Q5UE93;O15530;P15153;P29350;Q9UKW4;P15498;P42338;P27986;P62745;P16885;P63000;Q8WYR1;P60953;O95866;P02452;Q9P126;P06241;P30273;P43405;P06239;Q9HCN6;P07948;O43561;O00459;Q92569;P42336;P48736;P84095;Q05513;Q13094;P52735;P08123	Hemostasis	GPVI-mediated activation cascade	R-HSA-76002
R-HSA-114608	Q8WXD2;Q99969;P09486;Q96JJ7;P01033;O00391;P68366;P00441;P62328;Q9Y6I9;P07602;P00747;P37802;O43915;P62937;P02787;P02776;P10600;Q15833;P14210;P07737;O75167;O15439;P05106;P01042;O60245;P05121;Q13103;O75083;P01127;P08567;P16284;Q6UXV4;P35625;Q9NTK5;P61812;P07225;O00194;P49908;P10124;Q8NBX0;P08962;P01344;O94919;O43852;Q5SQ64;Q7L3B6;P10909;P23528;Q06481;P56202;P21926;Q14393;Q9BWS9;P16671;P35609;P08758;P04217;P04075;Q6YHK3;O43707;Q9ULD4;P12814;Q01518;P00746;Q16610;P01009;P02647;P11021;P01023;P05019;P02749;Q9BX10;P01011;Q5JVS0;P12259;Q6ZUX7;O00292;P08514;P02671;P19652;P00451;Q9BYX7;P0DP23;P05067;P02675;P02763;P08697;P02768;Q92520;P02765;Q13201;Q08380;P16109;P02775;O14498;Q9UNF1;P02679;P04196;P13473;P02751;Q9UHQ9;Q8NBF2;P01133;P05155;P29622;Q14624;P00488;P55145;Q86UX7;P07996;P18206;P49767;Q9Y490;P05452;Q8WZ42;P21333;Q06033;P15692;Q96C24;Q8NBM8;P01137;P04275;P49765;Q9UEU0;Q9NXH8;Q9NUQ9	Hemostasis	Platelet degranulation 	R-HSA-76005
R-HSA-1168372	O43242;P28070;Q9UL46;Q15008;Q04206;P05771;P60896;P63208;P25789;P62987;P62191;P17980;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;Q9UDY8;P35998;A5LHX3;Q06323;P28074;P0CG48;Q9UNM6;O00231;P25788;P28062;P40306;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;Q04864;P25963;O15111;O14920;Q13616;O95999;Q9BXL7;Q9Y297;Q9UKB1;O43318;O00221;Q15653;P19838;Q9Y6K9;P20618;P01111;P01116;P01112;Q8IV61;O95267;Q13469;P62937;Q12968;P63098;P62942;P0DP23;Q08209;P16298;O95644	Immune System	Downstream signaling events of B Cell Receptor (BCR)	R-HSA-983705
R-HSA-1169091	O43242;P28070;Q9UL46;Q15008;Q04206;P05771;P60896;P63208;P25789;P62987;P62191;P17980;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;Q9UDY8;P35998;A5LHX3;Q06323;P28074;P0CG48;Q9UNM6;O00231;P25788;P28062;P40306;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;Q04864;P25963;O15111;O14920;Q13616;O95999;Q9BXL7;Q9Y297;Q9UKB1;O43318;O00221;Q15653;P19838;Q9Y6K9;P20618	Immune System	Activation of NF-kappaB in B cells	R-HSA-1168372
R-HSA-1169092	P01111;P01116;P01112;Q8IV61;O95267	Immune System	Activation of RAS in B cells	R-HSA-1168372
R-HSA-1169408	P19174;P62987;Q9UKX7;P37198;Q9BTX1;P49790;Q96EE3;P62979;P55735;Q96HA1;P46934;Q9BVL2;Q8NFH5;Q8TEM1;Q9BW27;P23458;P57740;Q13526;O75688;Q99567;P0CG48;Q9UMW8;P41226;P35658;Q8NFH3;Q8N1F7;P49792;P52948;Q7Z3B4;P0CG47;P12270;P51965;P78406;P42224;O60573;P09914;O00629;O95786;P19525;Q9Y4X5;A9QM74;P38919;Q04637;P05161;O75369;Q9NRG9;Q8N5X7;O43432;P06730;Q9UII4;P27361;Q14974;P20592;P52292;P60842;O75694;Q14653;A8CG34;Q5SRE5;Q12769;P20591;P52294;O00505;O15504;Q14240;P78344;O15131;Q92621;Q3LFD5;O14933;P61088;Q14258;Q8NFH4;Q8WUM0	Immune System	ISG15 antiviral mechanism	R-HSA-1169410
R-HSA-1169410	P19174;P62987;Q9UKX7;P37198;Q9BTX1;P49790;Q96EE3;P62979;P55735;Q96HA1;P46934;Q9BVL2;Q8NFH5;Q8TEM1;Q9BW27;P23458;P57740;Q13526;O75688;Q99567;P0CG48;Q9UMW8;P41226;P35658;Q8NFH3;Q8N1F7;P49792;P52948;Q7Z3B4;P0CG47;P12270;P51965;P78406;P42224;O60573;P09914;O00629;O95786;P19525;Q9Y4X5;A9QM74;P38919;Q04637;P05161;O75369;Q9NRG9;Q8N5X7;O43432;P06730;Q9UII4;P27361;Q14974;P20592;P52292;P60842;O75694;Q14653;A8CG34;Q5SRE5;Q12769;P20591;P52294;O00505;O15504;Q14240;P78344;O15131;Q92621;Q3LFD5;O14933;P61088;Q14258;Q8NFH4;Q8WUM0;Q9Y6K5;P00973;Q05823;P61221;Q15646;P21333;Q6L8Q7;P29728	Immune System	Antiviral mechanism by IFN-stimulated genes	R-HSA-913531
R-HSA-1170546	P63208;P51692;Q06124;P01241;P01236;P62877;P16471;P01242;P42229;P10912;P0DML2;Q13616;Q9Y297;O60674	Immune System	Prolactin receptor signaling	R-HSA-1280215
R-HSA-1181150	P13385;Q13485;P84022;P29122;Q96S42;Q15796;Q8NER5;Q8N907;Q13705;P27037;P0CG37;P36896;O95813;P27539;O43524;P09958;O00292;O75593;Q14919;O75610;P51864	Developmental Biology	Signaling by NODAL	R-HSA-1266738
R-HSA-1187000	Q86XQ3;Q8NEC5;Q96P56;Q9H7T0;Q7RTX7;Q86XM0;Q96D96;Q6ZRH7;A8MYU2;Q8IYV9;Q1ZYL8;Q6UXV1;P21926;P10323;Q5VZ72;P21754;Q12889;Q12836;O43506;Q9UKJ8;P15291;Q9UKF2;Q99965;P38567;Q05996;P60852	Reproduction	Fertilization	R-HSA-1474165
R-HSA-1221632	Q8WVM7;O94901;Q8NDV3;Q9UJ98;Q8N0S2;P0C5Y9;P16104;Q14683;P54274;Q9UH99;Q15554;O95072;Q9UQE7;A1L190;Q9NYB0;Q8NF91;Q93077;P62807;Q9NUX5;P20700;P06899;Q9BSI4;Q15431;Q8N3U4;Q8WXH0;O60216;O60814;Q6FI13;Q99878;P57053;Q13535;P38398;Q96AP0;O75344;Q71UI9;Q9BTM1;P54652;P33778;P20671;P58876;Q16778;Q16695;P0C0S5;Q16777;Q8N257;Q99880;Q99879;Q93079;P23527;P04908;P62805;Q99877;Q96A08;P63279;Q8IZU3;Q9BXU0;Q6PIF2;Q9BX26	Reproduction;Cell Cycle	Meiotic synapsis	R-HSA-1500620
R-HSA-1222449	P02788	Disease	Mtb iron assimilation by chelation	R-HSA-1222499
R-HSA-1222499	P02788	Disease	Latent infection - Other responses of Mtb to phagocytosis	R-HSA-9635486
R-HSA-1222556	P21281;P38606;Q93050;Q96LB4;P35228;P49279;P15153;Q9HBG4;Q8NEY4;Q96A05;Q8N8Y2;Q8NHE4;P36543;Q13488;P04839;Q96D96;P13498;P19878;P14598;P29474;Q15080;P21283;Q9Y5K8;P15313;O75348;Q99437;P27449;Q9UI12;Q16864;P29475;P61421;Q9Y487;O15342;O95670;P05164;P22079	Immune System	ROS and RNS production in phagocytes	R-HSA-168249
R-HSA-1226099	P19174;P01111;P01116;P01112;P27986;Q07889;Q13480;Q8WU20;P22455;P42336;P08620;P10767;Q9HCT0;O43320;O76093;O15520;P11487;P09038;P21802;P05230;Q9GZV9;P31371;Q9NP95;P21781;P52434;P19388;P24928;P35269;P61218;P52435;P30876;O15514;P62487;P62875;P36954;P53803;P52298;P19387;P13984;Q09161;O94905;Q92614;O15164;Q9UBW7;Q16630;O95684;P11274;P39880;O95429;P11362;Q9NVK5;Q32MZ4;P51692;P40763;P42224;P42229;Q9UQC2;P22607	Disease	Signaling by FGFR in disease	R-HSA-5663202
R-HSA-1227986	Q99075;O14511;P07947;P56975;P12931;P35070;Q16543;P04626;Q96RT1;Q15303;P06241;P00533;O14944;P07900;P01133;Q8WWG1;Q05209;P01111;P01116;P01112;Q05655;P29353;Q07889;P17252;Q02156;P19174;Q14451;Q02297;P27986;Q13480;P42336;P61586;O60610;Q9Y316;Q13882;P62987;P62979;P42679;Q99952;P0CG48;P0CG47;Q9UNE7;Q93034;Q9H4P4;Q9Y243;P31751;P31749;P40818	Signal Transduction	Signaling by ERBB2	R-HSA-9006934
R-HSA-1227990	Q05209;P01111;P01116;P01112;P29353;Q07889;Q16543;P04626;Q96RT1;P07900;P19174;Q99075;O14511;P56975;P27986;P35070;Q15303;Q13480;P00533;O14944;P01133;Q8WWG1;P42336	Disease	Signaling by ERBB2 in Cancer	R-HSA-5663202
R-HSA-1234158	Q99967;P27540;Q16790;Q92793;Q09472;P01588;Q99814;Q9Y241;Q9Y2N7;Q16665;P15692	Cellular responses to stimuli	Regulation of gene expression by Hypoxia-inducible Factor	R-HSA-1234174
R-HSA-1234174	Q99814;Q9NWT6;Q16665;Q99967;P27540;Q16790;Q92793;Q09472;P01588;Q9Y241;Q9Y2N7;P15692;O43242;P28070;Q9UL46;Q15008;P60896;P25789;P62987;P62191;P17980;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;P35998;A5LHX3;Q06323;P28074;P62877;P0CG48;P61077;A6NIX2;Q9UNM6;O00231;P25788;P28062;P40306;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;Q13617;Q96KS0;Q96IF1;Q15369;Q15370;Q9UGP4;Q9GZT9;Q9H6Z9;P51668;P62837;P20618;P40337	Cellular responses to stimuli	Cellular response to hypoxia	R-HSA-2262752
R-HSA-1234176	O43242;P28070;Q9UL46;Q15008;P60896;P25789;P62987;P62191;P17980;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;P35998;A5LHX3;Q06323;P28074;P62877;P0CG48;P61077;A6NIX2;Q9UNM6;O00231;P25788;P28062;P40306;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;Q13617;Q96KS0;Q96IF1;Q15369;Q15370;Q99814;Q9UGP4;Q9GZT9;Q9Y2N7;Q9H6Z9;Q16665;P51668;P62837;P20618;P40337	Cellular responses to stimuli	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	R-HSA-1234174
R-HSA-1236382	P19174;P62987;P62979;P01111;P01116;P01112;P0CG48;P0CG47;P27986;P29353;Q07889;P22681;Q16543;Q13480;P00533;P07900;P01133;P42336	Disease	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	R-HSA-5637815
R-HSA-1236394	Q99075;O14511;P56975;P35070;Q15303;P18505;P47870;P78352;P00533;P28472;P18507;Q99928;O14944;P14867;Q9UN88;P01133;Q8WWG1;P27986;Q02297;P42336;P01111;P01116;P01112;P29353;Q07889;P49810;P16949;P09486;Q9NZ42;Q14582;Q92542;P49768;P06401;Q9NZC7;P48061;P12931;P04271;P42229;Q9NYJ8;P05814;O75689;Q96BI3;P14136;P03372;P02649;P78536;O75376;P46937;Q8WW43;P62987;P62979;P46934;P0CG48;Q9H0M0;P0CG47;Q96J02	Signal Transduction	Signaling by ERBB4	R-HSA-9006934
R-HSA-1236973	P18084;P16671;P04839;P13498;P19878;P14598;Q15080;P06756	Immune System	Cross-presentation of particulate exogenous antigens (phagosomes)	R-HSA-1236975
R-HSA-1236974	O43242;P28070;Q9UL46;Q15008;O75396;P60896;P25789;P62987;P62191;P17980;O15533;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P60059;P43686;P49720;P55036;Q8TAA3;P61619;P61289;P13747;P35998;A5LHX3;Q06323;P28074;P0CG48;Q15836;Q9BV40;Q9Y2C9;P30101;Q9UNM6;O00231;P25788;P28062;P40306;Q03519;O00161;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;Q9H9S3;P60900;P28065;O00233;Q12846;P60468;P01889;P08571;P61769;O15111;O14920;Q9Y6Y9;P16671;Q06187;P27797;P04439;P01893;P30511;P10321;P17693;Q99836;P58753;O00206;O60603;Q03518;Q9Y6K9;P20618;Q15399	Immune System	ER-Phagosome pathway	R-HSA-1236975
R-HSA-1236975	P18084;P16671;P04839;P13498;P19878;P14598;Q15080;P06756;O43242;P28070;Q9UL46;Q15008;O75396;P60896;P25789;P62987;P62191;P17980;O15533;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P60059;P43686;P49720;P55036;Q8TAA3;P61619;P61289;P13747;P35998;A5LHX3;Q06323;P28074;P0CG48;Q15836;Q9BV40;Q9Y2C9;P30101;Q9UNM6;O00231;P25788;P28062;P40306;Q03519;O00161;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;Q9H9S3;P60900;P28065;O00233;Q12846;P60468;P01889;P08571;P61769;O15111;O14920;Q9Y6Y9;Q06187;P27797;P04439;P01893;P30511;P10321;P17693;Q99836;P58753;O00206;O60603;Q03518;Q9Y6K9;P20618;Q15399;O60911;P25774;P07711;Q9UIQ6;Q9UBG0;P22897;Q9UJ71;P12314;Q92637	Immune System	Antigen processing-Cross presentation	R-HSA-983169
R-HSA-1236977	P13747;P01889;P61769;P04439;P01893;P30511;O60911;P25774;P07711;P10321;P17693;Q9UIQ6	Immune System	Endosomal/Vacuolar pathway	R-HSA-1236975
R-HSA-1236978	O43242;P28070;Q9UL46;Q15008;P60896;P25789;P62191;P17980;O00232;O75832;Q9UBG0;Q14997;Q16401;P49721;P22897;Q92530;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;P35998;A5LHX3;Q06323;P28074;Q9UNM6;O00231;P25788;P28062;P40306;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;Q9UJ71;P12314;Q92637;P20618	Immune System	Cross-presentation of soluble exogenous antigens (endosomes)	R-HSA-1236975
R-HSA-1237044	Q02094;P22748;P29972;P02730;P00918;P00915;P68871;P69905;Q9UHQ9;Q6BCY4;Q6IPT4;Q7L1T6	Transport of small molecules	Erythrocytes take up carbon dioxide and release oxygen	R-HSA-1480926
R-HSA-1237112	Q9BV57;Q9BV20;Q9UHY7;Q13126;P17174;Q96GX9	Metabolism	Methionine salvage pathway	R-HSA-1614635
R-HSA-1247673	Q02094;P22748;P29972;P02730;P00918;P00915;P68871;P69905	Transport of small molecules	Erythrocytes take up oxygen and release carbon dioxide	R-HSA-1480926
R-HSA-1250196	Q05209;P01111;P01116;Q99075;O14511;P01112;Q05655;P56975;P29353;Q07889;P35070;P04626;Q15303;P00533;P17252;O14944;Q02156;P01133;Q8WWG1	Signal Transduction	SHC1 events in ERBB2 signaling	R-HSA-1227986
R-HSA-1250342	Q99075;O14511;P56975;P27986;P35070;Q15303;Q02297;O14944;Q8WWG1;P42336	Signal Transduction	PI3K events in ERBB4 signaling	R-HSA-1236394
R-HSA-1250347	P01111;P01116;Q99075;O14511;P01112;P56975;P29353;Q07889;P35070;Q15303;Q02297;O14944;Q8WWG1	Signal Transduction	SHC1 events in ERBB4 signaling	R-HSA-1236394
R-HSA-1251932	P19174;P04626;P00533;P01133	Signal Transduction	PLCG1 events in ERBB2 signaling	R-HSA-1227986
R-HSA-1251985	P49810;P16949;P09486;Q9NZ42;Q99075;O14511;Q14582;Q92542;P49768;P56975;P06401;Q9NZC7;P48061;P12931;P04271;P42229;Q9NYJ8;P05814;O75689;Q96BI3;P35070;Q15303;P14136;P03372;P02649;P78536;Q02297;O14944;O75376;Q8WWG1;P46937;Q8WW43	Signal Transduction	Nuclear signaling by ERBB4	R-HSA-1236394
R-HSA-1253288	P62987;P62979;P46934;P0CG48;Q9H0M0;P0CG47;P12931;Q15303;Q96J02	Signal Transduction	Downregulation of ERBB4 signaling	R-HSA-1236394
